id,数据类,pH,SS（块状）,SS（纤维）,SS（絮状）,COD,Cl-,SO42-,N-NH3,N-NO3,TP,含油量,重金属,温度,色度,TN,TDS（600℃）,Cond,可生化性
1,进水,6.8,24.1,41.6,25.5,10000.0,2047.8,2381.5,2232.2,1875.5,158.6,83.8,0.9,33.0,54.3,4180.7,7160.0,18508.3,71.8
1,机器预测出水,8.6,220.2,55.6,44.3,20000.0,1052.3,3232.8,252.0,5267.9,543.5,4.0,3.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
1,专家反馈出水,8.6,220.2,55.6,44.3,20000.0,1052.3,3232.8,252.0,5267.9,543.5,4.0,3.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
1,误差%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,进水,7.4,48.6,11.4,7.5,6792.6,364.3,923.3,2346.6,62.0,8.5,37.6,4.4,28.5,524.7,2473.4,8450.9,14183.5,94.4
2,机器预测出水,8.6,11886.9,209.3,2128.4,13472.8,1052.3,23232.8,252.0,25267.83,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
2,专家反馈出水,8.6,11886.9,209.3,2128.4,13472.8,1052.3,23232.8,252.0,25267.9,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
2,误差%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,进水,7.4,48.6,11.4,7.5,6792.6,364.3,923.3,2346.6,62.0,8.5,37.6,4.4,28.5,524.7,2473.4,8450.9,14183.5,94.4
3,机器预测出水,8.6,4069.02,227.11,7766.99,25537.56,1052.3,8503.68,252.0,0.0,543.5,4.0,5.69,44.3,811.3,1932.8,5406.1,12785.7,70.2
3,专家反馈出水,8.6,100.0,209.3,21128.4,13472.8,1052.3,23232.8,252.0,25267.9,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
3,误差%,0.0,3968.98,8.51,63.24,89.55,0.0,63.4,0.0,100.0,0.0,0.0,75.68,0.0,0.0,0.0,0.0,0.0,0.0
4,进水,7.4,33.7,7.9,39.4,12721.1,382.8,1997.2,678.8,2840.6,27.7,26.2,1.3,34.9,104.0,4176.2,5441.0,7041.3,88.6
