id,数据类,pH,SS（块状）,SS（纤维）,SS（絮状）,COD,Cl-,SO42-,N-NH3,N-NO3,TP,含油量,重金属,温度,色度,TN,TDS（600℃）,Cond,可生化性
1,进水,6.8,221.0,41.6,25.5,38700.0,2047.8,2381.5,2232.2,1875.5,158.6,83.8,0.9,33.0,54.3,4180.7,7160.0,18508.3,71.8
1,机器预测出水,7.4,150.0,10.5,24.4,28325.6,1296.3,1972.3,1189.5,3457.5,97.7,126.2,0.8,37.8,64.3,3663.4,8699.2,10846.7,64.3
1,专家反馈出水,8.6,220.2,55.6,44.3,3870.0,1052.3,3232.8,252.0,5267.9,543.5,4.0,3.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
1,误差%,13.95,31.88,81.11,44.92,631.93,23.19,38.99,372.02,34.37,82.02,3054.24,76.45,14.67,92.07,89.54,60.91,15.17,8.4
2,进水,7.4,48.6,11.4,7.5,6792.6,364.3,923.3,2346.6,62.0,8.5,37.6,4.4,28.5,524.7,2473.4,8450.9,14183.5,94.4
2,机器预测出水,8.6,220.2,55.6,44.3,3870.0,1052.3,3232.8,252.0,5267.9,543.5,4.0,3.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
2,专家反馈出水,8.6,886.9,209.3,2128.4,679.0,1052.3,23232.8,252.0,25267.9,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
2,误差%,0.0,75.17,73.44,97.92,469.96,0.0,86.09,0.0,79.15,0.0,0.0,85.47,0.0,0.0,0.0,0.0,0.0,0.0
3,进水,7.4,48.6,11.4,7.5,6792.6,364.3,923.3,2346.6,62.0,8.5,37.6,4.4,28.5,524.7,2473.4,8450.9,14183.5,94.4
3,机器预测出水,8.6,886.9,209.3,2128.4,679.0,1052.3,23232.8,252.0,25267.99,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
3,专家反馈出水,8.6,100.0,209.3,21128.4,678.0,1052.3,23232.8,252.0,25267.9,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
3,误差%,0.0,786.9,0.0,89.93,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,进水,7.4,33.7,7.9,39.4,12721.1,382.8,1997.2,678.8,2840.6,27.7,26.2,1.3,34.9,104.0,4176.2,5441.0,7041.3,88.6
4,机器预测出水,8.6,402.45,227.11,7766.99,1288.95,1052.3,8503.68,252.0,21379.09,543.5,4.0,5.69,44.3,811.3,1932.8,5406.1,12785.7,70.2
4,专家反馈出水,8.6,4791.6,227.1,1111.2,1272.0,1052.3,7594.8,3252.0,14600.0,543.5,4.0,223.4,44.3,811.3,31932.8,5406.1,12785.7,70.2
4,误差%,0.0,91.6,0.0,598.97,1.33,0.0,11.97,92.25,46.43,0.0,0.0,97.45,0.0,0.0,93.95,0.0,0.0,0.0
5,进水,6.8,4.0,32.0,11.8,21617.6,2819.5,1816.3,1420.0,775.2,43.2,73.3,0.4,37.1,918.8,4497.1,8931.2,9148.5,74.4
5,机器预测出水,8.6,1500.09,104.46,6103.12,2161.97,1052.3,10697.41,1827.58,14385.94,543.5,4.0,68.41,44.3,811.3,9430.92,5406.1,12785.7,70.2
5,专家反馈出水,38.6,140.0,104.5,1111.3,2162.0,1052.3,29036.4,0.0,11094.2,543.5,4.0,63.4,44.3,811.3,7938.4,5406.1,12785.7,70.2
5,误差%,77.72,971.49,0.04,449.19,0.0,0.0,63.16,0.0,29.67,0.0,0.0,7.9,0.0,0.0,18.8,0.0,0.0,0.0
6,进水,6.7,24.2,49.2,38.8,20555.1,441.9,1631.4,1207.6,2908.9,10.4,58.3,0.8,35.5,317.5,4932.8,6045.4,18453.4,83.6
6,机器预测出水,15.12,1227.79,16.95,5104.63,2053.94,1052.3,17068.83,2904.29,11091.24,543.5,4.0,67.4,44.3,811.3,9132.04,5406.1,12785.7,70.2
6,专家反馈出水,18.6,3414.0,16.9,4278.0,2056.0,5661052.3,14744.9,277.8,14430.6,543.5,4.0,63.4,44.3,811.3,7938.0,5406.1,12785.7,70.2
6,误差%,18.71,64.04,0.3,19.32,0.1,99.98,15.76,945.46,23.14,0.0,0.0,6.31,0.0,0.0,15.04,0.0,0.0,0.0
7,进水,6.4,5.2,43.1,28.5,35064.0,1644.0,1160.8,2481.5,249.8,23.6,40.0,3.6,27.7,790.3,5810.9,7348.9,12121.0,78.1
7,机器预测出水,18.31,1592.24,47.97,4966.9,3506.37,944385.27,20985.42,699.44,14649.33,543.5,4.0,66.73,44.3,811.3,8925.41,5406.1,12785.7,70.2
7,专家反馈出水,27.3,3424.6,48.0,4278.0,3506.0,809623.4,16188.9,0.0,14378.5,65543.5,4.0,63.4,44.3,811.3,7945.9,5406.1,12785.7,70.2
7,误差%,32.93,53.51,0.06,16.1,0.01,16.65,29.63,0.0,1.88,99.17,0.0,5.25,0.0,0.0,12.33,0.0,0.0,0.0
