id,数据类,pH,SS（块状）,SS（纤维）,SS（絮状）,COD,Cl-,SO42-,N-NH3,N-NO3,TP,含油量,重金属,温度,色度,TN,TDS（600℃）,Cond,可生化性
1,进水,6.8,111124.1,41.6,25.5,0.0,22047.8,2381.5,2232.2,1875.5,158.6,83.8,0.9,33.0,54.3,4180.7,7160.0,18508.3,71.8
1,机器预测出水,8.6,220.2,55.6,44.3,0.0,1052.3,3232.8,252.0,5267.9,543.5,4.0,3.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
1,专家反馈出水,8.6,220.2,55.6,44.3,0.0,1052.3,3232.8,252.0,5267.9,543.5,4.0,3.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
1,误差%,0.0,629.14,78.25,69.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,92.17,0.0,0.0,0.0,0.0,0.0,0.0
2,进水,7.5,30.4,2.3,4.1,24417.3,78.2,1241.1,1178.9,2359.2,100.1,71.5,0.9,35.5,754.3,3702.1,4810.3,13192.1,99.6
2,机器预测出水,8.6,30.23,209.29,128.41,6676.51,1052.3,3232.8,252.0,5267.9,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
2,专家反馈出水,8.6,30.2,255.6,144.3,24000.0,1052.3,3232.8,252.0,5267.9,543.5,4.0,43.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
2,误差%,0.0,96.59,0.0,93.97,0.35,0.0,86.09,0.0,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,进水,7.4,48.6,11.4,7.5,6792.6,364.3,923.3,2346.6,62.0,8.5,37.6,4.4,28.5,524.7,2473.4,8450.9,14183.5,94.4
3,机器预测出水,8.6,401.97,209.29,772.34,6685.31,1052.3,12172.58,252.0,3268.08,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
3,专家反馈出水,8.6,886.9,209.3,2128.4,6700.0,1052.3,23232.8,252.0,3267.9,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
3,误差%,0.0,301.97,0.0,96.34,0.22,0.0,47.61,0.0,87.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,进水,7.4,148.6,11.4,7.5,6792.6,23364.3,923.3,2346.6,62.0,8.5,37.6,4.4,28.5,524.7,2473.4,8450.9,14183.5,94.4
4,机器预测出水,8.6,323.99,227.11,3015.36,12514.18,1052.3,7594.83,252.0,9766.12,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
4,专家反馈出水,8.6,100.0,209.3,21128.4,6700.0,1052.3,23232.8,252.0,25267.9,543.5,4.0,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
4,误差%,0.0,93.24,0.0,171.36,1.47,0.0,96.8,92.25,33.11,0.0,0.0,89.53,0.0,0.0,93.95,0.0,0.0,0.0
5,进水,7.4,33.7,7.9,4444139.4,12721.1,34382.8,1997.2,678.8,2840.6,27.7,26.2,1.3,34.9,104.0,4176.2,5441.0,7041.3,88.6
5,机器预测出水,8.6,1228.27,104.46,5443.6,21308.64,1052.3,58105.83,857.46,10731.82,543.5,4.0,63.4,44.3,811.3,7939.26,5406.1,12785.7,70.2
5,专家反馈出水,8.6,4791.6,227.1,1111.2,12700.6,1052.3,237594.8,3252.0,14600.0,543.5,4.0,223.4,44.3,811.3,31932.8,5406.1,12785.7,70.2
5,误差%,77.72,777.34,0.04,389.84,0.89,0.0,100.11,272.81,3.27,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
6,进水,6.8,4.0,32.0,11.8,21617.6,2819.5,1816.3,1420.0,775.2,43.2,73.3,0.4,37.1,918.8,4497.1,8931.2,9148.5,74.4
6,机器预测出水,18.59,1044.06,0.0,4651.61,20329.95,1052.3,53260.55,459.41,10792.71,543.5,4.0,63.4,44.3,811.3,7938.01,5406.1,12785.7,70.2
6,专家反馈出水,38.6,140.0,104.5,1111.3,21500.0,1052.3,29036.4,230.0,11094.2,543.5,4.0,63.4,44.3,811.3,7938.4,5406.1,12785.7,70.2
6,误差%,0.05,69.42,100.0,8.73,0.83,99.98,261.21,65.37,25.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,进水,6.7,24.2,2249.2,38.8,20555.1,441.9,1631.4,1207.6,2908.9,10.4,58.3,0.8,35.5,317.5,4932.8,6045.4,18453.4,83.6
7,机器预测出水,27.26,1388.63,170.82,4600.15,34742.89,809696.3,47757.44,0.0,11313.53,543.5,4.0,63.4,44.3,811.3,7945.86,5406.1,12785.7,70.2
7,专家反馈出水,18.6,3414.0,16.9,4278.0,20500.6,5661052.3,14744.9,277.8,14430.6,543.5,4.0,63.4,44.3,811.3,7938.0,5406.1,12785.7,70.2
7,误差%,0.15,59.45,255.88,7.53,0.74,0.01,195.0,0.0,21.32,99.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,进水,6.4,5.2,43.1,28.5,35064.0,1644.0,1160.8,2481.5,249.8,23.6,40.0,3.6,27.7,790.3,5810.9,7348.9,12121.0,78.1
8,机器预测出水,27.33,1651.16,152.0,4562.77,34876.38,809745.26,43810.21,580.22,11701.25,29811.48,4.0,63.4,44.3,811.3,7941.04,5406.1,12785.7,70.2
8,专家反馈出水,27.3,3424.6,48.0,4278.0,35000.2,809623.4,16188.9,0.0,14378.5,65543.5,4.0,63.4,44.3,811.3,7945.9,5406.1,12785.7,70.2
8,误差%,0.11,51.79,216.67,6.66,0.35,0.02,170.62,0.0,18.62,54.52,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
