id,输入输出类,pH,SS（块状）,SS（纤维）,SS（絮状）,COD,Cl-,SO42-,N-NH3,N-NO3,TP,含油量,重金属,温度,色度,TN,TDS（600℃）,Cond,可生化性
0,进水,7.8,23.9,10.9,6,29888.8,1680.6,6757.9,470.8,53,407.2,8.2,1.9,33.7,758.5,1161,8615.2,8836.3,82.3
0,出水,6.5,16.1,16.4,32.2,2982.7,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
1,进水,6.8,2.8,48.1,22.2,28717.9,4518.6,1397.6,262.8,139.3,514.4,8.2,3.4,32.9,901.5,822.8,8651.1,12423.3,96
1,出水,6.5,16.1,16.4,32.2,2882.7,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
2,进水,6.3,10.6,26.1,8.2,26002.8,4528.5,308.1,117.4,857.6,535.6,0.8,3.6,27,975.6,1434.8,9184.5,10546.2,84.2
2,出水,6.5,16.1,16.4,32.2,2600.8,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
3,进水,6.3,21.9,18.9,34,9958,878.7,4188.2,204.8,862.7,949.8,8.8,5,25.7,339.1,1952.7,8109,19796.7,75.4
3,出水,6.5,16.1,16.4,32.2,992.9,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
4,进水,6.5,42.1,7.5,34.2,15759.9,2007.2,1900.9,646,73.7,31.3,2.6,4.3,30.5,400,1968.9,9960.8,18245.6,78.1
4,出水,6.5,16.1,16.4,32.2,1574.8,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
5,进水,7.5,43.7,33.7,32.1,9444.3,467.7,3965.3,440.7,494.2,866.8,2.1,3.8,30.1,138.7,1738,6087.8,16792,99.1
5,出水,6.5,16.1,16.4,32.2,944.8,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
6,进水,6.6,49.3,47.5,19,12782.4,2269.3,678.8,633.7,18.3,312.2,4.6,0.7,37.2,724,1366.3,7640.3,19092.6,71
6,出水,6.5,16.1,16.4,32.2,1278.4,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
7,进水,7.4,31.6,22.6,30.5,27415.8,1107.8,118,388.8,866.1,454,4.8,2.9,27.2,812.3,1834.2,3350.8,19301.7,76
7,出水,6.5,16.1,16.4,32.2,2743,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
8,进水,7.7,13,45.6,6.7,22214.7,644.9,1432,955.6,231.9,603.9,2.4,0.4,36.6,660.9,1967.4,7299,15450.6,77.4
8,出水,6.5,16.1,16.4,32.2,2222.2,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
9,进水,6,29.8,38.2,7,12134,631.3,207.7,264.6,411.1,201.5,8.8,0,31.5,594.6,765.4,2940.4,3613.6,70.7
9,出水,6.5,16.1,16.4,32.2,2893.8,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
10,进水,6.1,15.3,2.2,13.2,6998.8,431.4,2068.6,469.4,420,134.5,4.4,0.5,29.8,260.6,1247.4,7121.5,14602,73.7
10,出水,6.5,16.1,16.4,32.2,698.5,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
11,进水,7.1,5.8,44.4,32.8,5127.7,3206.7,5034.7,413.9,386.3,228.6,4.9,2.1,27.7,719.7,1752.7,8668.2,16952.7,97.2
11,出水,6.5,16.1,16.4,32.2,511.1,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
12,进水,6.4,19.9,39.3,16.3,12313.3,1637.3,335.7,679.1,215.9,309.9,6.4,2,34,521.2,1912.4,5527.4,17777.9,71.4
12,出水,6.5,16.1,16.4,32.2,1230.7,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
13,进水,6.8,19.9,37,12.3,26265.5,1696,2372.2,285.8,242.8,705.6,2.4,0.5,26.4,258,1943.1,9787.8,18070.4,94.9
13,出水,6.5,16.1,16.4,32.2,2627.8,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
14,进水,6.1,19.6,20,7.8,7331.6,4864.4,1024.9,356.2,158.1,238.8,2.8,0.3,25.6,147.9,1416.3,7535.6,9174.2,86.3
14,出水,6.5,16.1,16.4,32.2,731.8,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
15,进水,6.2,38.5,22.8,35.5,21230,4466.3,642.3,727.1,187.1,215.1,1.7,0.2,29.7,114.6,1784.2,5899.4,17126.6,87
15,出水,6.5,16.1,16.4,32.2,2123.6,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
16,进水,7.2,25.6,24.6,10.6,21834.2,4350.6,1698.8,702.1,215.6,781.1,4.8,4.2,34,844,1780.3,9379.7,15148.2,75.4
16,出水,6.5,16.1,16.4,32.2,2184.1,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
17,进水,6.5,26.3,24.8,3.3,22517,4438.8,4934.7,125.7,80.5,538.8,2.3,0.3,37.2,715.9,1910.8,9931.7,13317.1,87.9
17,出水,6.5,16.1,16.4,32.2,2252.5,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
18,进水,6,2.8,0.9,22.5,12268.8,56.9,44.9,561.1,246.1,436.1,0.1,2.1,31.7,949.8,1587,2758.4,17887.6,92.5
18,出水,6.5,16.1,16.4,32.2,1226.2,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
19,进水,6.4,33.4,7.2,24.6,8248.8,3738.2,431.2,268.2,368.9,795.5,9.3,0.1,28.1,599.1,846.4,7031.7,8608.9,90.5
19,出水,6.5,16.1,16.4,32.2,823.6,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
20,进水,6.9,35.4,46.6,23.4,18005.8,1349.6,2031.9,315.9,208.8,341.8,9.7,4.3,35.6,837,905.8,8495.2,19001.4,90
20,出水,6.5,16.1,16.4,32.2,1800.7,1052.3,122.3,485,267.9,256.2,4,3.4,30.5,892.3,1932.8,5406.1,12785.7,70.2
