id,数据类,pH,SS（块状）,SS（纤维）,SS（絮状）,COD,Cl-,SO42-,N-NH3,N-NO3,TP,含油量,重金属,温度,色度,TN,TDS（600℃）,Cond,可生化性
1,进水,6.8,111124.1,41.6,25.5,0,2047.8,2381.5,2232.2,1875.5,158.6,83.8,0.9,33,54.3,4180.7,7160,18508.3,71.8
1,机器预测出水,,,,,,,,,,,,,,,,,,
1,专家反馈出水,8.6,220.2,55.6,44.3,3872.8,1052.3,3232.8,252,5267.9,543.5,4,3.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
1,误差%,,,,,,,,,,,,,,,,,,
2,进水,7.5,30.4,2.3,4.1,24417.3,78.2,1241.1,1178.9,2359.2,100.1,71.5,0.9,35.5,754.3,3702.1,4810.3,13192.1,99.6
2,机器预测出水,,,,,,,,,,,,,,,,,,
2,专家反馈出水,8.6,3220.2,255.6,144.3,3872.8,1052.3,3232.8,252,5267.9,543.5,4,43.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
2,误差%,,,,,,,,,,,,,,,,,,
3,进水,7.4,48.6,11.4,7.5,6792.6,364.3,923.3,2346.6,62,8.5,37.6,4.4,28.5,524.7,2473.4,8450.9,14183.5,94.4
3,机器预测出水,8.6,11886.9,209.3,128.4,3872.8,1052.3,3232.8,252,5267.9,543.5,4,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
3,专家反馈出水,8.6,11886.9,209.3,2128.4,33872.8,1052.3,23232.8,252,25267.9,543.5,4,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
3,误差%,0,0,0,93.97,88.57,0,86.09,0,79.15,0,0,0,0,0,0,0,0,0
4,进水,7.4,48.6,11.4,7.5,a6792.6,364.3,923.3,2346.6,62,8.5,37.6,4.4,28.5,524.7,2473.4,8450.9,14183.5,94.4
4,机器预测出水,8.6,11886.9,209.3,128.4,3872.8,1052.3,3232.8,252,5267.9,543.5,4,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
4,专家反馈出水,8.6,100,209.3,21128.4,111338272.8,1052.3,23232.8,252,25267.9,543.5,4,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
4,误差%,0,11786.78,0,99.39,100,0,86.09,0,79.15,0,0,0,0,0,0,0,0,0
5,进水,7.4,33.7,7.9,39.4,12721.1,382.8,1997.2,678.8,2840.6,27.7,26.2,1.3,34.9,104,4176.2,5441,7041.3,88.6
5,机器预测出水,8.6,4791.6,227.1,1111.2,18361.6,1052.3,7594.8,252,14600,543.5,4,23.4,44.3,811.3,1932.8,5406.1,12785.7,70.2
5,专家反馈出水,8.6,4791.6,227.1,1111.2,218361.6,1052.3,7594.8,3252,14600,543.5,4,223.4,44.3,811.3,31932.8,5406.1,12785.7,70.2
5,误差%,0,0,0,0,91.59,0,0,92.25,0,0,0,89.53,0,0,93.95,0,0,0
6,进水,6.8,4,32,11.8,21617.6,2819.5,1816.3,1420,775.2,43.2,73.3,0.4,37.1,918.8,4497.1,8931.2,9148.5,74.4
6,机器预测出水,8.6,0,104.5,1111.3,58767,1052.3,9036.4,0,11094.2,543.5,4,63.4,44.3,811.3,7938.4,5406.1,12785.7,70.2
6,专家反馈出水,38.6,40,104.5,1111.3,58767,1052.3,29036.4,0,11094.2,543.5,4,63.4,44.3,811.3,7938.4,5406.1,12785.7,70.2
6,误差%,77.72,100,0,0,0,0,68.88,0,0,0,0,0,0,0,0,0,0,0
